epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.2685,0.95198,3.66182,1.29427,0.23217,0.53447,0.28657,0.22314,0.80232,1.9959,1.24083,0.00332583,0.00332583,0.00332583
2,147.669,0.88164,1.92888,1.16273,0.77261,0.79632,0.77257,0.61074,0.7782,1.10079,1.2233,0.00663718,0.00663718,0.00663718
3,216.473,0.90532,1.50462,1.15993,0.73094,0.79545,0.75917,0.60636,0.78361,1.0733,1.22779,0.00992654,0.00992654,0.00992654
4,284.877,0.90815,1.3968,1.16088,0.71741,0.8169,0.78814,0.62736,0.7871,0.95288,1.22628,0.009901,0.009901,0.009901
5,353.188,0.87907,1.24634,1.13998,0.76036,0.86791,0.80559,0.65532,0.75926,0.98044,1.20303,0.009868,0.009868,0.009868
6,420.983,0.85221,1.12895,1.1325,0.75796,0.8684,0.80324,0.65122,0.75593,0.87761,1.18722,0.009835,0.009835,0.009835
7,489.084,0.8283,1.03797,1.12057,0.81362,0.87455,0.87361,0.72273,0.72484,0.7831,1.16464,0.009802,0.009802,0.009802
8,557.238,0.81739,0.97223,1.11491,0.81328,0.85163,0.85284,0.69993,0.73393,0.81563,1.16404,0.009769,0.009769,0.009769
9,625.476,0.8078,0.93233,1.11083,0.83528,0.89869,0.88471,0.73369,0.73546,0.6924,1.16279,0.009736,0.009736,0.009736
10,693.861,0.79457,0.88378,1.10581,0.88264,0.89131,0.90688,0.75509,0.71429,0.62352,1.14504,0.009703,0.009703,0.009703
11,762.328,0.78864,0.83562,1.09926,0.88365,0.90142,0.90019,0.74446,0.72758,0.63006,1.15574,0.00967,0.00967,0.00967
12,830.702,0.77724,0.82654,1.09778,0.8959,0.90475,0.91281,0.75526,0.71568,0.63285,1.14758,0.009637,0.009637,0.009637
13,899.003,0.7685,0.79341,1.0921,0.91048,0.88757,0.90886,0.75642,0.71623,0.637,1.14692,0.009604,0.009604,0.009604
14,967.164,0.76977,0.77796,1.09486,0.92174,0.91672,0.91531,0.76564,0.7104,0.61495,1.13954,0.009571,0.009571,0.009571
15,1035.37,0.76019,0.77145,1.0873,0.91307,0.90608,0.90921,0.75417,0.71689,0.62901,1.14862,0.009538,0.009538,0.009538
16,1103.32,0.75644,0.7391,1.08999,0.8905,0.91697,0.92399,0.76871,0.70513,0.59026,1.13085,0.009505,0.009505,0.009505
17,1171.52,0.75787,0.7406,1.09126,0.94123,0.92176,0.91205,0.7654,0.69561,0.576,1.13105,0.009472,0.009472,0.009472
18,1239.63,0.74788,0.71121,1.08519,0.89246,0.92026,0.92638,0.77552,0.69584,0.56795,1.12856,0.009439,0.009439,0.009439
19,1308.09,0.74634,0.70573,1.08468,0.93371,0.9008,0.9059,0.76225,0.6963,0.5686,1.1252,0.009406,0.009406,0.009406
20,1376.41,0.74097,0.70025,1.08486,0.93025,0.90569,0.91208,0.76592,0.70987,0.59854,1.13514,0.009373,0.009373,0.009373
